assignment,condition,iteration,score
WT2425-01,no_memory,9,62
WT2425-01,memory,0,19
WT2425-01,memory,1,46
WT2425-01,memory,2,50
WT2425-01,memory,3,50
WT2425-01,memory,4,42
WT2425-01,memory,5,50
WT2425-01,memory,6,65
WT2425-02,no_memory,0,21
WT2425-02,no_memory,1,79
WT2425-02,no_memory,2,88
WT2425-02,no_memory,3,96
WT2425-02,memory,0,21
WT2425-02,memory,1,25
WT2425-02,memory,2,79
WT2425-02,memory,3,83
WT2425-02,memory,4,92
WT2425-02,memory,5,96
ST25-01,no_memory,0,27
ST25-01,no_memory,1,60
ST25-01,no_memory,2,77
ST25-01,no_memory,3,17
ST25-01,no_memory,4,80
ST25-01,no_memory,5,83
ST25-01,memory,0,63
ST25-01,memory,1,83
ST25-01,memory,2,93
ST25-01,memory,3,96
ST25-02,no_memory,0,17
ST25-02,no_memory,1,17
ST25-02,no_memory,2,38
ST25-02,no_memory,3,72
ST25-02,no_memory,4,76
ST25-02,no_memory,5,76
ST25-02,no_memory,6,76
ST25-02,memory,0,17
ST25-02,memory,1,34
ST25-02,memory,2,65
ST25-02,memory,3,72
ST25-02,memory,4,72
ST25-02,memory,5,72
ST25-02,memory,6,79
WT2526-01,no_memory,0,10
WT2526-01,no_memory,1,44
WT2526-01,no_memory,2,48
WT2526-01,no_memory,3,48
WT2526-01,no_memory,4,50
WT2526-01,no_memory,5,54
WT2526-01,no_memory,6,46
WT2526-01,no_memory,7,54
WT2526-01,memory,0,32
WT2526-01,memory,1,54
WT2526-01,memory,2,58
WT2526-01,memory,3,64
WT2526-01,memory,4,62
WT2526-01,memory,5,66
WT2526-02,no_memory,0,14
WT2526-02,no_memory,1,23
WT2526-02,no_memory,2,69
WT2526-02,no_memory,3,74
WT2526-02,no_memory,4,65
WT2526-02,no_memory,5,71
WT2526-02,no_memory,6,89
WT2526-02,memory,0,14
WT2526-02,memory,1,20
WT2526-02,memory,2,63
WT2526-02,memory,3,69
WT2526-02,memory,4,69
WT2526-02,memory,5,69
WT2526-02,memory,6,80
WT2526-02,memory,7,83
WT2526-02,memory,8,86
WT2526-02,memory,9,83
WT2526-02,memory,10,86
WT2526-02,memory,11,89
